alpha,beta,solver_type,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std,N,dt_Solver,dt_Sim,a1_acc_limit,Human_PreDefined_Traj,Human_RandomWalk_Traj,d_init,Tf,pp_theta,pp_factor,Nmc,theta_des,x1_init_x,x1_init_y,x2_init_x,x2_init_y,x1_des_x,x1_des_y,num_obstacles
0.1,0.5,DG,1,6.955521621957706,0.01963498565016456,0.7116147417103547,0.6388515521950402,3.3569220942221176,1.2744223944508284,6.999999999999991,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,2,6.963903422833322,0.019199860854029766,1.8938104421571431,0.9843137062834241,3.6499135071565108,1.6502627127989988,6.699999999999992,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,3,6.963628973858827,0.02727915100996596,1.8439832992248897,1.1054402334874653,3.8769700357608046,1.589124749996009,6.999999999999991,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,4,6.964357602823699,0.02849494230356896,1.9496283272495196,0.886598639509257,3.8530221006987526,1.774999885589404,6.8999999999999915,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,5,6.964046111404127,0.027760584715570476,1.8110281434390503,1.0594165066437111,3.7530589348467447,1.6448729791358072,7.099999999999991,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,6,6.96535292696003,0.022409053723824665,2.0363899161097705,1.0420107480157712,3.91565142086846,1.8161896382154346,6.699999999999992,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,7,6.9608587792902545,0.03456750217685186,2.322117316469379,2.0525020862867702,4.311963428582699,2.6611073258518294,7.799999999999988,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,8,6.962068003522235,0.03342108058976039,1.8821955847944642,1.0748739523369801,3.851531380154298,1.8850980452901511,7.599999999999989,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,9,6.96395990882801,0.029123008670565227,1.7197275988452114,0.9012037154779803,3.779020228526859,1.5862260112014828,6.8999999999999915,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
0.1,0.5,DG,10,6.960676067083946,0.022981693589010803,1.667752463573523,0.8643569669479432,3.8818394039256385,1.5828547215726625,6.999999999999991,0.0,1.0,0.0,5,0.1,0.1,10.0,1.0,0.0,7.0,15.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-6.449747468305834,1.5502525316941682,8.0,-0.0,0.0
