t,x1,y1,x2,y2,vx_cmd,vy_cmd,solve_ok
5.241415452957153320e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.313415789604187012e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.392481923103332520e+01,1.000000000000000000e+00,1.000000000000000000e+00,-9.227013157755036277e-01,1.084199418602402432e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.461929821968078613e+01,1.000000000000000000e+00,1.000000000000000000e+00,-9.226300999816617887e-01,1.084298010839760629e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.526717185974121094e+01,1.000000000000000000e+00,1.000000000000000000e+00,-8.888237325917288656e-01,1.191422795398610734e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.592999863624572754e+01,1.000000000000000000e+00,1.000000000000000000e+00,-8.887981110033899013e-01,1.191560497205776947e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.659358167648315430e+01,1.000000000000000000e+00,1.000000000000000000e+00,-8.722925851316595258e-01,1.301353239522079708e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.729303908348083496e+01,1.000000000000000000e+00,1.000000000000000000e+00,-8.722843099225386920e-01,1.301460333621577092e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.803463554382324219e+01,1.000000000000000000e+00,1.000000000000000000e+00,-8.516064180787333848e-01,1.410878388573549191e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.876700997352600098e+01,1.000000000000000000e+00,1.000000000000000000e+00,-8.515783983378758526e-01,1.410995647358982197e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.997859096527099609e+01,1.000000000000000000e+00,1.000000000000000000e+00,-8.247936231571697530e-01,1.519577852513642080e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.436669778823852539e+01,2.882345378398895264e+00,0.000000000000000000e+00,-8.247604511940709315e-01,1.519614898060202668e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.650902819633483887e+01,3.969999790191650391e+00,0.000000000000000000e+00,-7.917388280459116690e-01,1.627012068474771311e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.143154692649841309e+01,4.506595134735107422e+00,0.000000000000000000e+00,-6.793658701295611779e-01,1.768848579334733939e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.516063380241394043e+01,5.728882491588592529e+00,0.000000000000000000e+00,-6.793721333304024723e-01,1.768844450092001752e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.666237640380859375e+01,6.652269124984741211e+00,0.000000000000000000e+00,-6.793696280500659546e-01,1.768845367701497695e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.796372103691101074e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793671227697294368e-01,1.768847202920489803e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.949740338325500488e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793608595688881424e-01,1.768851332163222212e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.176224064826965332e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793671227697294368e-01,1.768847432322863789e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.548762798309326172e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793591893819971306e-01,1.768852708577466126e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.770405530929565430e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793487507139281956e-01,1.768859131843938615e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.978697872161865234e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793675403164521898e-01,1.768846973518115817e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.352277565002441406e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793596069287198835e-01,1.768853167382214320e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.732204723358154297e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793516735409874663e-01,1.768857526027320493e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.904252648353576660e+01,7.000000000000000000e+00,0.000000000000000000e+00,-6.793303786581270653e-01,1.768872895986379534e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.015052909851074219e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793558490082151069e-01,1.768856608417824550e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.028482961654663086e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793462454335916778e-01,1.768861655270052902e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.041558582782745361e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793641999426701661e-01,1.768850185151352061e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.055275273323059082e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793575191951061187e-01,1.768855232003580413e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.070983841419219971e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793353892188001009e-01,1.768865784512785089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.089413621425628662e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793729684238479782e-01,1.768844679494375738e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.104777784347534180e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793679578631749427e-01,1.768846514713367846e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.127114155292510986e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793583542885516247e-01,1.768853626186962291e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.146176631450653076e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793575191951061187e-01,1.768853167382214320e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.169012346267700195e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793629473025019072e-01,1.768850414553726047e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.185387547016143799e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793520910877102192e-01,1.768857984832068686e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.216274421215057373e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.792877888924061525e-01,1.768896983235651366e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.237768323421478271e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793587718352743776e-01,1.768853396784588305e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.258587164878845215e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793487507139281956e-01,1.768858214234442672e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274070291519165039e+02,7.000000000000000000e+00,0.000000000000000000e+00,-6.793671227697294368e-01,1.768847202920489803e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325001726150512695e+02,7.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.334085226058959961e+02,1.000000000000000000e+00,1.000000000000000000e+00,-6.793303786581270653e-01,1.768871519572135620e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.372073838710784912e+02,1.224062800407409668e+00,7.759371995925903320e-01,-6.793550139147696010e-01,1.768855232003580413e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.446269865036010742e+02,2.169688701629638672e+00,0.000000000000000000e+00,-6.805462097991110682e-01,1.878314920190604642e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.463978366851806641e+02,4.017084002494812012e+00,0.000000000000000000e+00,-5.794934049704960621e-01,1.734896377611567564e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.495578155517578125e+02,4.460075795650482178e+00,0.000000000000000000e+00,-4.655362821741264034e-01,1.787997604313900757e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.521459765434265137e+02,5.245971560478210449e+00,0.000000000000000000e+00,-4.655379394966063233e-01,1.787995319252258186e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.548507201671600342e+02,5.887769401073455811e+00,0.000000000000000000e+00,-4.655351772924731235e-01,1.787998910063410829e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.569666838645935059e+02,6.560046613216400146e+00,0.000000000000000000e+00,-4.655246809167669642e-01,1.788014905494909490e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.588330893516540527e+02,7.000000000000000000e+00,0.000000000000000000e+00,-4.655255095780069241e-01,1.788012620433266697e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.622372999191284180e+02,7.000000000000000000e+00,0.000000000000000000e+00,-4.655329675291665636e-01,1.788003806624073766e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.640584850311279297e+02,7.000000000000000000e+00,0.000000000000000000e+00,-4.655244046963536442e-01,1.788014252620154343e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.653670353889465332e+02,7.000000000000000000e+00,0.000000000000000000e+00,-4.655246809167669642e-01,1.788013599745399418e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.697897799015045166e+02,7.000000000000000000e+00,0.000000000000000000e+00,-4.655263382392468841e-01,1.788011314683756625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.735742297172546387e+02,7.000000000000000000e+00,0.000000000000000000e+00,-4.655268906800735240e-01,1.788010988246379274e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.761470777988433838e+02,7.000000000000000000e+00,0.000000000000000000e+00,-4.655296528842067239e-01,1.788007397435226409e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.787314310073852539e+02,7.000000000000000000e+00,0.000000000000000000e+00,-4.655296528842067239e-01,1.788007397435226409e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.802040898799896240e+02,7.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.816121826171875000e+02,1.000000000000000000e+00,1.000000000000000000e+00,-4.655365583945397234e-01,1.787996625001768258e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.834369399547576904e+02,1.141377186775207386e+00,8.586228132247926137e-01,-4.655351772924731235e-01,1.787999236500788403e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.887794940471649170e+02,1.322622680664062411e+00,6.773773193359380329e-01,-5.435990846793282705e-01,1.845456487975895454e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.926793446540832520e+02,1.854353332519530051e+00,1.456466674804690609e-01,-4.505480948844631239e-01,1.898098658794035609e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.985991258621215820e+02,2.242804646492004395e+00,0.000000000000000000e+00,-3.485839155938056377e-01,2.022135119377168611e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.009946873188018799e+02,2.832630491256716176e+00,0.000000000000000000e+00,-3.485756437857330803e-01,2.022137908265545292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.036158254146575928e+02,3.069628238677981180e+00,0.000000000000000000e+00,-3.485852942284843881e-01,2.022134105235941171e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.054654521942138672e+02,3.332461762428283958e+00,0.000000000000000000e+00,-3.485761033306259971e-01,2.022137908265545292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.090145165920257568e+02,3.515649747848513140e+00,0.000000000000000000e+00,-3.485784010550905809e-01,2.022136260286050202e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.126841261386871338e+02,3.869977593421938700e+00,0.000000000000000000e+00,-3.485659933429817725e-01,2.022140697153921529e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.165208261013031006e+02,4.234033179283149373e+00,0.000000000000000000e+00,-3.485820774142339706e-01,2.022135246144822318e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.187975931167602539e+02,4.616143751144425877e+00,0.000000000000000000e+00,-3.485788605999834977e-01,2.022136133518396495e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.209717662334442139e+02,4.843092751503005111e+00,0.000000000000000000e+00,-3.485756437857330803e-01,2.022137274427277642e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.237498650550842285e+02,5.060162496566786849e+00,0.000000000000000000e+00,-3.485733460612684964e-01,2.022138542103812497e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250311090946197510e+02,5.336891007423411715e+00,0.000000000000000000e+00,-3.485875919529489719e-01,2.022133598165327228e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.268278346061706543e+02,5.464275455474864707e+00,0.000000000000000000e+00,-3.485646147083030222e-01,2.022141330992188735e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.290147583484649658e+02,5.643333649635328797e+00,0.000000000000000000e+00,-3.485761033306259971e-01,2.022137781497891584e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.311104242801666260e+02,5.860427641868608539e+00,0.000000000000000000e+00,-3.485751842408401635e-01,2.022137527962584613e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.337502834796905518e+02,6.069576621055620791e+00,0.000000000000000000e+00,-3.485912683120923616e-01,2.022132203721139110e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.351031627655029297e+02,6.332385659217854901e+00,0.000000000000000000e+00,-3.485733460612684964e-01,2.022138668871465761e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.382562685012817383e+02,6.465890169143694521e+00,0.000000000000000000e+00,-3.485820774142339706e-01,2.022135119377168611e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.425820484161376953e+02,6.780475687980667132e+00,0.000000000000000000e+00,-3.485889705876277778e-01,2.022132964327060023e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.447839460372924805e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485356633800490989e-01,2.022150585030892067e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.473816933631896973e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485926469467711120e-01,2.022132076953485402e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.487973451614379883e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485875919529489719e-01,2.022133598165327228e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.508241391181945801e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485894301325206945e-01,2.022133091094713286e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.530406386852264404e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485894301325206945e-01,2.022132964327060023e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.552184734344482422e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485834560489127210e-01,2.022134992609515347e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.573022682666778564e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485889705876277778e-01,2.022133471397673521e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.595063829421997070e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485880514978418887e-01,2.022133471397673521e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.622261750698089600e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485862133182702216e-01,2.022133978468287463e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.642242803573608398e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485898896774136113e-01,2.022132837559406315e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.659457521438598633e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485857537733773048e-01,2.022134232003594434e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.678175127506256104e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485871324080560552e-01,2.022133471397673521e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.698760797977447510e+02,7.000000000000000000e+00,0.000000000000000000e+00,-3.485857537733773048e-01,2.022134358771248142e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
